,Model,WER
0,gpt-4o,1.0
1,gpt-4o,44.2
2,gpt-4o,137.66666666666666
3,gpt-4o,13.6
4,gpt-4o,1.0
5,gpt-4o,11.75
6,gpt-4o,1.0
7,gpt-4o,1.0
8,gpt-4o,4.7926829268292686
9,gpt-4o,0.9977037887485649
10,gpt-4o,1.0
11,gpt-4o,0.9967462039045553
12,gpt-4o,21.904761904761905
13,gpt-4o,15.11111111111111
14,gpt-4o,5.445945945945946
15,gpt-4o,0.9950083194675541
16,gpt-4o,8.0
17,gpt-4o,29.857142857142858
18,gpt-4o,1.0
19,gpt-4o,21.944444444444443
20,claude-3-5-sonnet-20240620,3.5315315315315314
21,claude-3-5-sonnet-20240620,8.568627450980392
22,claude-3-5-sonnet-20240620,19.476190476190474
23,claude-3-5-sonnet-20240620,68.0
24,claude-3-5-sonnet-20240620,1.944700460829493
25,claude-3-5-sonnet-20240620,11.722222222222221
26,claude-3-5-sonnet-20240620,8.4375
27,claude-3-5-sonnet-20240620,3.95
28,claude-3-5-sonnet-20240620,5.8088235294117645
29,claude-3-5-sonnet-20240620,2.1807909604519775
30,claude-3-5-sonnet-20240620,2.975806451612903
31,claude-3-5-sonnet-20240620,5.882352941176471
32,claude-3-5-sonnet-20240620,57.625
33,claude-3-5-sonnet-20240620,9.25
34,claude-3-5-sonnet-20240620,2.066666666666667
35,claude-3-5-sonnet-20240620,32.0
36,claude-3-5-sonnet-20240620,6.603448275862069
37,claude-3-5-sonnet-20240620,12.8125
38,claude-3-5-sonnet-20240620,31.23076923076923
39,claude-3-5-sonnet-20240620,3.256880733944954
40,EasyOCR,1.513011152416357
41,EasyOCR,1.5017182130584192
42,EasyOCR,1.416083916083916
43,EasyOCR,1.5992063492063493
44,EasyOCR,1.5084175084175084
45,EasyOCR,1.5421245421245422
46,EasyOCR,1.5725190839694656
47,EasyOCR,1.4736842105263157
48,EasyOCR,1.8632075471698113
49,EasyOCR,1.6794871794871795
50,EasyOCR,1.7592592592592593
51,EasyOCR,1.7260869565217392
52,EasyOCR,1.6056338028169015
53,EasyOCR,1.6374501992031874
54,EasyOCR,1.780701754385965
55,EasyOCR,1.7801724137931034
56,EasyOCR,1.6150627615062763
57,EasyOCR,1.5522388059701493
58,EasyOCR,1.748917748917749
59,EasyOCR,1.8309859154929577
60,Pytesseract,1.9431279620853081
61,Pytesseract,2.682926829268293
62,Pytesseract,2.971014492753623
63,Pytesseract,2.6887417218543046
64,Pytesseract,2.973684210526316
65,Pytesseract,1.944954128440367
66,Pytesseract,1.9855769230769231
67,Pytesseract,2.4767441860465116
68,Pytesseract,2.313953488372093
69,Pytesseract,2.3795180722891565
70,Pytesseract,2.3850931677018634
71,Pytesseract,1.8915094339622642
72,Pytesseract,2.0585585585585586
73,Pytesseract,2.398843930635838
74,Pytesseract,2.2849162011173183
75,Pytesseract,2.7905405405405403
76,Pytesseract,2.639455782312925
77,Pytesseract,2.8958333333333335
78,Pytesseract,2.859154929577465
79,Pytesseract,2.1648351648351647
80,KerasOCR,1.9521531100478469
81,KerasOCR,2.032710280373832
82,KerasOCR,1.8493150684931507
83,KerasOCR,2.015
84,KerasOCR,1.9134199134199135
85,KerasOCR,1.9488372093023256
86,KerasOCR,2.107142857142857
87,KerasOCR,1.8237885462555066
88,KerasOCR,2.302325581395349
89,KerasOCR,2.046875
90,KerasOCR,2.4551282051282053
91,KerasOCR,2.089005235602094
92,KerasOCR,2.1261682242990654
93,KerasOCR,2.176470588235294
94,KerasOCR,2.5308641975308643
95,KerasOCR,2.429411764705882
96,KerasOCR,2.092391304347826
97,KerasOCR,2.019607843137255
98,KerasOCR,2.1837837837837837
99,KerasOCR,2.36144578313253
